school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Tattnall County High School,1,62,69,17,24.6,20.1,19.8,18.5,21.4,20.6,11,88.7,41.23,2.2
Taylor County High School,3,33,33,,,17.4,16.7,17.3,17.7,17.2,15,95.35,55.56,3.1
Taylor Road Middle School,1,,,,,,,,,,,,,
Tech High School,1,1,,,,,,,,,,,,
Telfair Alternative Preparation School,,,,,,,,,,,,,,26.3
Telfair Alternative Preparation School (TAPS),,,,,,,,,,,,,,41.4
Telfair County High School,1,21,21,2,9.5,15.9,14.5,17.1,17.2,14.4,14,93.9,41.33,2.0
Temple High School,15,86,127,70,55.1,20.6,19.2,19.6,21.6,21.2,22,98.94,45.45,2.4
Terrell County High School,,,,,,,,,,,,92.31,24.59,
Terrell High School,1,1,,,,16.0,14.8,16.2,15.8,17.1,31,93.24,23.19,2.8
The B.E.S.T Academy,,,,,,,,,,,,72.73,,
The Best Academy High School at Benjamin S. Carson,2,16,16,2,12.5,17.1,16.1,16.3,17.9,17.3,16,,,
The Champion Middle Theme School,1,,,,,,,,,,,,,
The Dalton Academy,,,,,,,,,,,,76.05,36.84,2.3
The Foundry,,,,,,,,,,,,78.95,,7.0
The School of Liberal Studies at Savannah High,5,48,52,10,19.2,16.0,14.6,15.7,17.7,15.9,12,79.11,18.6,4.3
The School of the Arts at Carver,6,29,29,,,15.7,14.5,15.9,16.2,15.6,30,64.08,,9.3
Therrell High School,,,,,,,,,,,,85.98,25.28,6.3
"Therrell School of Engineering, Math, and Science - C",,,,,,17.5,17.2,16.6,19.2,17.2,10,,,
Therrell School of Health and Science,5,59,83,24,28.9,19.0,17.2,17.0,22.1,19.3,13,,,
Therrell School of Health and Science - C,7,69,74,10,13.5,16.6,15.8,16.1,17.1,16.8,95,,,
Thomas County Academy,,,,,,,,,,,,94.55,,
Thomas County Central High School,27,284,625,443,70.9,19.9,18.9,18.2,22.2,19.9,38,96.77,38.42,
Thomasville High School,23,112,227,148,65.2,19.1,18.9,17.9,19.9,19.3,35,90.83,42.65,1.9
Thomson High School,9,76,107,41,38.3,18.2,15.8,17.9,19.8,18.0,10,95.63,38.36,1.4
Tift County High School,,,,,,,,,,,,88.59,45.57,1.7
Toombs County High School,7,175,247,46,18.6,17.0,16.4,16.4,17.7,16.9,16,93.97,50.23,1.3
Towers High School,11,95,138,38,27.5,16.7,15.3,16.1,18.5,16.7,35,80.09,29.14,7.2
Towns County High School,1,,,,,20.7,19.3,20.3,21.6,20.9,10,94.03,59.7,
Treutlen Middle/High School,,,,,,19.7,18.7,19.4,20.4,19.6,36,78.43,38.46,3.4
Tri-Cities High School,12,258,354,87,24.6,15.3,13.9,15.1,15.6,16.3,36,86.09,22.88,4.6
